mesh_index,bary_before_translation,bary_after_translation,bbox_before_scaling,bbox_after_scaling
1,0.8273242887540966,1.564704271760069e-14,0.9831654720464228,0.9999999999999999
2,0.41589292700560887,4.057210812597516e-15,0.9498956778826385,1.0
3,0.08252348665802137,8.192598452387487e-16,1.7851834617547133,1.0
4,0.22457911824947543,4.5370454672135625e-16,1.6471349363307612,1.0
5,0.037430951357967444,5.9222231135714104e-15,1.5764615049749564,1.0
6,0.7397776044823708,9.080327822386423e-16,0.9459052862111492,1.0
7,0.7543916416564606,4.909886729801004e-16,0.9524730837639073,1.0
8,0.7508249162000148,7.700209795975105e-16,0.9546626212535008,1.0
9,0.17333386769377476,3.351214713572636e-16,1.4533668148676289,1.0
10,0.2218066538842217,1.87399465581861e-15,1.4719015697258526,1.0
11,0.8009801902752481,2.138920701988976e-15,1.2957386022634718,1.0
12,0.10436614081535191,9.03469003897005e-16,1.9425145365783112,0.9999999999999999
13,0.14242940566005793,1.8101181772219003e-15,1.9073514056536436,1.0
14,0.12952121470609373,1.023718427491276e-15,1.7718413701445486,1.0
15,0.0062798583752091686,1.1945467124928676e-15,1.8685686026926727,1.0
16,0.35408981670881196,3.3089584890641793e-15,1.7971325814108994,1.0
17,0.09576430402068987,6.409193742754911e-16,1.982719557738701,1.0
18,0.14019496523894234,1.198072533476258e-15,1.8709818160571179,0.9999999999999999
19,0.6192860470818068,6.126219994705663e-14,0.960436079104839,1.0
20,0.24189782846147334,1.3162508461516272e-15,1.7369271370271901,1.0
21,0.23884955865026658,3.4774189687663535e-15,1.84658403224189,1.0
22,0.6922929907879847,7.747191240488121e-14,1.0856237466904368,1.0
23,0.6893834603266932,1.242058659484985e-14,0.9479175526459058,0.9999999999999999
24,0.7100560364476317,4.551035069177198e-14,0.9243456342071333,1.0
25,6.103547869176356,2.0642865429898274e-13,10.395179084084024,0.9999999999999998
26,0.18729081581665363,3.443002041205801e-15,0.3494032365535489,0.9999999999999999
27,0.3510317356658475,4.300152280887228e-16,1.7033606608942424,1.0
28,0.08900340831838466,4.2483053970130757e-16,1.580718851851992,1.0
29,0.09807323604521545,5.0432660412692815e-15,1.8966927577994794,1.0
30,0.6161873311195811,1.2575383805699002e-15,1.8007201596800702,1.0
31,0.752598672827659,5.53667242456512e-14,1.1163075141112446,0.9999999999999998
32,0.6889701029516913,2.42698994766067e-14,0.9422567394238726,1.0
33,0.8102130296793336,4.134417433700518e-14,0.9682458739910716,1.0
34,0.832527293358173,5.6564529418848586e-15,0.9642883284104381,1.0
35,0.6111496747794566,2.723940283810433e-14,0.9499253001452448,1.0
36,16.627318007843186,2.0167339539674278e-13,42.204546148797206,1.0
37,8.741306801079919,5.2067435473303196e-14,16.921196349921047,1.0
38,0.12123727752240845,4.922514229046943e-16,1.9439248466402304,1.0
39,0.09654073789330517,2.6837678512618695e-16,1.8857526703972782,0.9999999999999999
40,0.22090704905928915,6.803056695720594e-16,1.8655243881345382,1.0
41,0.5916160209359898,3.3002337893886073e-15,0.9697576041820138,1.0
42,0.6647918827623728,6.592471991197602e-16,0.9523208174559845,0.9999999999999999
43,0.6248756982408974,1.940769503787459e-15,0.9092489543278872,1.0
