label,num_vertices,num_faces,center_x,center_y,center_z,center_distance_from_origin,bbox_x,bbox_y,bbox_z,max_dimension,min_dimension,dimension_ratio,bbox_volume,mean_face_area,std_face_area,min_face_area,max_face_area,face_area_uniformity,mean_edge_length,std_edge_length,min_edge_length,max_edge_length,edge_length_uniformity,filename,category,original_file_found,original_num_vertices,original_num_faces,original_center_x,original_center_y,original_center_z,original_center_distance_from_origin,original_bbox_x,original_bbox_y,original_bbox_z,original_max_dimension,original_min_dimension,original_dimension_ratio,original_bbox_volume,original_mean_face_area,original_std_face_area,original_min_face_area,original_max_face_area,original_face_area_uniformity,original_mean_edge_length,original_std_edge_length,original_min_edge_length,original_max_edge_length,original_edge_length_uniformity,centered,center_error,scaled,scaling_error,face_uniformity,edge_uniformity,fully_compliant,remeshing_applied,target_faces
processed,2841,5440,0.02493756282998965,0.0005597898627243817,3.350967969024799e-05,0.024943867532696753,1.0,0.9200200000000001,0.9200619999999999,1.0,0.9200200000000001,1.0869328927632007,0.84647544124,0.0004779114224277149,0.0001835517820308233,0.00019383222710616732,0.0008240603518831742,0.61592928434644,0.036512531665688124,0.011462539153764432,0.011625007053761297,0.05855098364673305,0.6860656155339644,m1337,AircraftBuoyant,True,201,340,0.45806433830845766,0.515897412935323,0.45660967164179134,0.8273242840266136,0.864234,0.95,0.864234,0.95,0.864234,1.0992393263861409,0.7095553864181998,0.006902616055845056,0.0026510923212946366,0.0027997181932313984,0.011901833665583318,0.6159293375372195,0.138763462002783,0.04356261872327753,0.0441810000452683,0.22251621975487543,0.6860656393654703,False,0.024943867532696753,True,0.0,0.61592928434644,0.6860656155339644,False,True,0
processed,3010,5828,0.3947586179401983,0.0002421810631229234,0.0007520255813953527,0.3947594085417064,1.0,0.360716,0.36071600000000004,1.0,0.360716,2.772264052606483,0.130116032656,8.905813078003689e-05,0.00014136708105253533,1.9688799518000333e-07,0.000752775465380112,-0.5873573789876121,0.016041599906030247,0.012426013637037261,0.0009961259960466955,0.050513000089085984,0.22538813398742352,m1340,AircraftBuoyant,True,778,1457,0.1955400784061693,0.3116705976863749,0.19388770308483264,0.4158929250814267,0.342686,0.95,0.34268899999999997,0.95,0.342686,2.772217131718249,0.11156298652129999,0.00032149459610621134,0.000510327151929785,7.16734129816412e-07,0.0027174779399327686,-0.5873584132070124,0.030478794868204415,0.023609239425049666,0.0018938418624584285,0.09597361134186838,0.2253880270811197,False,0.3947594085417064,True,0.0,-0.5873573789876121,0.22538813398742352,False,True,0
processed,5934,9480,0.021351448095719597,0.029869552072800686,0.016161986012807508,0.04011588549056527,1.0,0.5306690000000001,0.382707,1.0,0.382707,2.6129650097855537,0.20309074098300003,0.0006050137241766007,0.003212777251953523,1.639998018434399e-09,0.0835099748558225,-4.310255162105593,0.04684635983747762,0.06276809521317459,1.7029386365915724e-05,0.6266392487364639,-0.33987134605407254,D00310,Apartment,True,14464,9480,0.07108420575221248,-0.005759353221792221,-0.016674913785951255,0.07324061173095944,1.777636,0.8836729999999999,0.7082090000000001,1.777636,0.7082090000000001,2.5100443513143715,1.112489354843663,0.0019393982752085954,0.010298696028358492,8.413139440372105e-09,0.2676952410876121,-4.3102532677310945,0.08387387482129365,0.11238018891025366,3.0033314835337e-05,1.1219374800522532,-0.3398711952881295,False,0.04011588549056527,True,0.0,-4.310255162105593,-0.33987134605407254,False,False,0
processed,8634,13490,0.002680942321056275,0.0018878944869119153,0.02204876719944406,0.0222912478865097,1.0,0.6702969999999999,0.509818,1.0,0.509818,1.9614842943952548,0.34172947594599995,0.00029132742092870663,0.0037922871043983846,6.539101424202168e-07,0.2750200961173408,-12.017267967118102,0.03964468974505009,0.08551140944610082,0.0007240980596576685,1.1288204365571168,-1.156944851782514,D00478,Apartment,True,19857,25206,0.04612861917711686,-0.06442517746890244,-0.0201614788235886,0.08176147153421996,1.691115,1.165133,0.929405,1.691115,0.929405,1.819567357610514,1.8312753482978394,0.0004413721359175794,0.00728941602732135,1.3316472918109775e-07,0.7476788324939966,-15.515351636702672,0.0465089248746342,0.10626403386890058,0.0006576876158177048,1.8612316082811942,-1.2848095103324266,False,0.0222912478865097,True,0.0,-12.017267967118102,-1.156944851782514,False,True,0
processed,1598,2578,0.004690289737171468,0.13449413829787238,0.003944766583229049,0.13463370023029894,0.7607440000000001,1.0,0.400445,1.0,0.400445,2.4972218407022186,0.30463613108000004,0.001126966417707753,0.004297336112774228,7.153320382861846e-09,0.0848449739523948,-2.8131891467671233,0.07515731782505021,0.11281515538498857,0.0010077211916001165,0.65847125351757,-0.5010535054962655,D00496,Apartment,True,7737,2579,-0.0017458407651545478,-0.006555347938477805,-0.032337152643143206,0.033041065171052285,1.796949,1.582875,0.600796,1.796949,0.600796,2.990947010299669,1.7088714881611065,0.0025423182826233627,0.009693141670787745,3.261114533510463e-09,0.1914150010877373,-2.8127176038657145,0.1128835140895065,0.1694204284113792,0.0015140706720625735,0.9890352032470837,-0.5008429687708338,False,0.13463370023029894,True,0.0,-2.8131891467671233,-0.5010535054962655,False,True,0
processed,5814,10893,0.16398333126934994,0.02714364568283457,0.00010377984176126433,0.1662146840847829,1.0,0.361494,0.151939,1.0,0.151939,6.581588663871686,0.05492503686599999,4.5143369449066003e-05,8.337160578346839e-05,1.257365500759459e-08,0.0006838264945111441,-0.8468184099003562,0.010965271332119145,0.010758662167482941,3.008321791298298e-05,0.072138858502197,0.018842138819767373,m56,AquaticAnimal,True,5814,10893,0.09715947746818018,0.1707012192982457,0.7132264951840386,0.7397776042597566,0.143956,0.342452,0.95,0.95,0.143956,6.599238656256078,0.04683311910639999,4.052124317831372e-05,7.483541924685946e-05,1.1310384796719389e-08,0.0006138049076208341,-0.8468194304292742,0.010388761591757202,0.010193017867103905,2.816025568065111e-05,0.0683463889975176,0.018841872818470162,False,0.1662146840847829,True,0.0,-0.8468184099003562,0.018842138819767373,False,False,0
processed,162,336,0.1358936666666665,0.010527728395061735,0.010597179012345673,0.13671218639276805,1.0,0.35895600000000005,0.316565,1.0,0.316565,3.1589089128614978,0.11363290614000002,0.0011884873948850763,0.002412660620204052,1.284381886797706e-06,0.018637632822989973,-1.0300262590814855,0.05197391552622758,0.06160994922569566,0.0009007208224527781,0.44570401384999886,-0.18540134222916982,m74,AquaticAnimal,True,162,336,0.18431922222222225,0.16889792592592592,0.7117630679012349,0.7543916422461628,0.329455,0.29659599999999997,0.95,0.95,0.29659599999999997,3.2030101552279873,0.09282928342099998,0.0010775920932962525,0.0021875375944748186,1.1651796418617472e-06,0.01689847242440003,-1.0300237985074183,0.04948977709351939,0.05866524831667532,0.0008579428885420747,0.4244012085491746,-0.18540134472251335,False,0.13671218639276805,True,0.0,-1.0300262590814855,-0.18540134222916982,False,True,0
processed,1583,3164,0.1317952501579279,0.0069079564118761936,-1.54990524320917e-05,0.1319761647654598,1.0,0.33843500000000004,0.388968,1.0,0.33843500000000004,2.954777135934522,0.13164038508,0.00014260270461992426,0.0001881353224658848,3.812750450757844e-09,0.0009306722257447034,-0.31929701450836845,0.01814066779505192,0.01666556124777241,0.00012099999999999958,0.08771909181586411,0.0813148977724989,m76,AquaticAnimal,True,1583,3164,0.21049104042956415,0.18392733480732767,0.6968517150979134,0.7508249166252747,0.37093,0.32814,0.95,0.95,0.32814,2.8951057475467787,0.11563112168999998,0.00012968319179656958,0.00017109064906237176,2.42928322771595e-09,0.0008463615776154731,-0.3192970244806814,0.01729939951703359,0.015892705501475576,0.00011599999999997723,0.08365136535048306,0.0813146152369586,False,0.1319761647654598,True,0.0,-0.31929701450836845,0.0813148977724989,False,True,0
processed,9676,19196,0.08876120473336106,0.003966642104175278,0.14927544987598182,0.17371656700204796,1.0,0.819745,0.566623,1.0,0.566623,1.7648418789918519,0.46448637113499996,0.00018321037281198978,0.005157737855030771,2.5127301541848836e-07,0.3564334589069019,-27.151996941372058,0.0278514486335913,0.056802076157306494,0.0008254701690551629,1.1974130882803145,-1.0394657708683126,D00121,Bed,True,15368,24612,-0.19096226002082378,0.11417258817022352,0.20733450598646502,0.30412096608816647,1.698073,1.458173,0.94523,1.698073,0.94523,1.796465410535002,2.3404690689605494,0.0003018313491898685,0.009615715636925324,1.1136387283825505e-06,0.7528845964090861,-30.85790893734007,0.03208230641990035,0.061099787598695866,0.001199825403965101,1.740280209293607,-0.9044699218007672,False,0.17371656700204796,True,0.0,-27.151996941372058,-1.0394657708683126,False,True,0
processed,8942,17823,-0.030900753187206205,0.0019675433907403207,0.07994385819727114,0.0857306726790154,1.0,0.797768,0.408289,1.0,0.408289,2.4492455099206687,0.32571989895200004,0.00028133754681614786,0.005548793865734166,4.5613948973957424e-08,0.3534696146181395,-18.72290555785739,0.03110568900470719,0.07936601288660305,0.0004040965231228597,1.2011076706794441,-1.5514950938586405,D00839,Bed,True,16364,32648,0.039297425262773,-0.1786175235883652,0.07427841988511369,0.1973975456426768,1.665043,1.4470589999999999,0.6426879999999999,1.665043,0.6426879999999999,2.59074854361681,1.5485024022162273,0.0003328724457522682,0.008848246577201636,2.173855445972179e-09,0.7660504158510032,-25.581492971595242,0.03153786725642599,0.08212405621939049,4.031128874156508e-05,1.7682127767010958,-1.6039825569580115,False,0.0857306726790154,True,0.0,-18.72290555785739,-1.5514950938586405,False,True,0
