category,centered_mean,scaled_mean,fully_compliant_mean,center_error_mean,center_error_max,scaling_error_mean,scaling_error_max,face_uniformity_mean,edge_uniformity_mean,num_vertices_mean,num_vertices_std,num_faces_mean,num_faces_std,remeshing_applied_mean
AircraftBuoyant,0.0,1.0,0.0,0.209852,0.394759,0.0,0.0,0.014286,0.455727,2925.5,119.501046,5634.0,274.357431,1.0
Apartment,0.0,1.0,0.0,0.06568,0.134634,0.0,0.0,-6.380237,-0.665957,5388.666667,3549.55847,8516.0,5519.502514,0.666667
AquaticAnimal,0.0,1.0,0.0,0.144968,0.166215,0.0,0.0,-0.732047,-0.028415,2519.666667,2940.116381,4797.666667,5464.815855,0.666667
Bed,0.0,1.0,0.0,0.153139,0.199969,0.0,0.0,-17.577224,-1.42218,7738.333333,2745.117545,15352.333333,5511.296248,1.0
Bicycle,0.0,1.0,0.0,0.033545,0.043922,0.0,0.0,-1.547305,-0.724898,4748.666667,3850.312758,8998.0,7002.813435,1.0
Biplane,0.0,1.0,0.0,0.047662,0.095426,0.0,0.0,-1.449886,-0.459908,3689.4,3183.233545,7330.2,7281.582259,1.0
Bird,0.0,1.0,0.0,0.055256,0.137001,0.0,0.0,-0.054766,0.290553,2615.6,3408.655204,5024.4,6919.070227,1.0
Bookset,0.0,1.0,0.0,0.132491,0.193079,0.0,0.0,-2.611499,-0.127297,2813.5,1652.508548,5761.5,3346.736395,1.0
Bottle,0.0,1.0,0.0,0.154544,0.295575,0.0,0.0,-0.451508,-0.132389,1560.5,1044.795514,3126.0,2093.560285,1.0
BuildingNonResidential,0.0,1.0,0.0,0.084622,0.172645,0.0,0.0,-2.564467,-0.231631,3581.4,2564.249949,6756.6,5355.712072,1.0
Bus,0.0,1.0,0.0,0.027195,0.033608,0.0,0.0,-4.402177,-1.416758,6358.5,1972.120813,14451.5,4210.820882,1.0
Car,0.0,1.0,0.0,0.048161,0.121017,0.0,0.0,-4.216421,-0.607503,7204.333333,2477.559838,12708.222222,4589.207142,0.888889
Cellphone,0.0,1.0,0.0,0.108968,0.151249,0.0,0.0,-4.582398,-1.095077,1899.0,888.126117,3936.5,2058.38784,1.0
Chess,0.0,1.0,0.0,0.111842,0.149452,0.0,0.0,-6.836942,-0.151128,4723.2,2545.779782,9346.8,4887.661936,1.0
